X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-71.83,42.68,61399,Ashby Duffy CSG Solar Farm,Massachusetts,1431,solar
-71.53153,42.203492,62760,Hopkinton CSG,Massachusetts,1748,solar
-75.177222,43.251388,63279,Barneveld Solar,New York,13304,solar
-159.7621,22.0006,63280,"AES Kekaha Solar, LLC Hybrid",Hawaii,96752,solar
-99.740278,33.915315,61402,Foard City Wind,Texas,79227,wind
-118.23853,33.778655,63285,Valero Wilmington Cogeneration Plant,California,90744,natural gas
-74.288,41.339,62761,Chester CSG,New York,10918,solar
-79.199375,34.670842,61403,Deep Branch Farm,North Carolina,28372,solar
-95.089302,29.562372,62762,NASA Johnson Space Center CHP,Texas,77058,natural gas
-77.979166,35.478155,61404,Pikeville Farm,North Carolina,27863,solar
-70.810468,41.905958,62763,Carver CSG,Massachusetts,2330,solar
-77.828889,35.305747,61405,"Moorings Farm 2, LLC",North Carolina,28551,solar
-74.561,41.345,62764,Westtown CSG,New York,2839,solar
-75.216293,39.822945,63286,DG Amaze ACY1,New Jersey,8066,solar
-76.799967,37.834094,61406,Essex Solar Center,Virginia,22454,solar
-99.726392,33.732181,62765,El Campo Wind,Texas,79227,wind
-93.453642,43.061204,63287,Cerro Gordo Wind Farm,Iowa,50482,wind
-98.405956,40.240168,61407,Cottonwood Wind Energy Center,Nebraska,68930,wind
-85.785544,38.661999,62766,Scottsburg Solar Park,Indiana,47374,solar
-73.0245,41.5489,63288,Brass Mill Center,Connecticut,6706,solar
-72.98595,41.892997,61408,Canis Minor Solar Farm,Connecticut,6063,solar
-85.570279,40.481168,62767,Gas City Solar Park,Indiana,46933,solar
-96.690448,33.614436,61409,Highway 56 Solar,Texas,75092,solar
-85.505304,41.175519,62769,Columbia City Solar Park,Indiana,46725,solar
-96.868721,33.616526,61410,Whitesboro Solar,Texas,76273,solar
-84.825585,39.83901,62770,Richmond Solar Park 3,Indiana,47374,solar
-76.46813,39.37614,63289,White Marsh Mall,Maryland,21236,solar
-96.867474,33.624853,61411,Whitesboro Solar II,Texas,76273,solar
-96.082472,33.404486,62772,Coniglio Solar,Texas,75496,solar
-89.167539,35.306387,61412,Latitude Solar Center,Tennessee,38075,solar
-71.3843,42.3009,63290,Natick Mall,Massachusetts,1760,solar
-97.1798,33.5493,62773,"BT Cooke Solar, LLC",Texas,76240,solar
-73.72252,41.21125,63291,Grand Prix Solar,New York,10549,solar
-73.965581,40.58549,61413,NYC-HH - CONEY ISLAND HOSPITAL,New York,11235,petroleum
-95.7156,32.4744,62774,Kellam Solar,Texas,75754,solar
-73.9828,41.09305,63292,100 Brook Hill Drive Solar,New York,10994,solar
-77.61444,36.50806,63293,"Cottonwood Solar, LLC",North Carolina,27831,solar
-89.368619,35.058165,62775,Wildberry,Tennessee,38057,solar
-73.830918,40.775397,61414,NY Times Daily Production Facility,New York,11354,petroleum
-86.880819,40.049684,62776,Crawfordsville Solar Park 4,Indiana,47933,solar
-71.771135,42.331362,61415,West Boylston Community Shared Solar,Massachusetts,1583,solar
-73.981234,41.961896,62777,Ulster County Solar,New York,12401,solar
-84.51074,39.141852,63294,Parking Lot Array,Ohio,45220,solar
-73.953689,40.78999,61416,Mount Sinai Hospital,New York,10029,petroleum
-81.834,30.286,62778,Hecate Energy Blair Road LLC,Florida,3221,solar
