,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
319,50985,3164,1333,Natural Gas Internal Combustion Engine,0.400002881,0.4,0,0,61.5666667,-27.3666667,38.2494,-122.0394,0.400000871,0.44
320,50985,3165,1333,Natural Gas Internal Combustion Engine,1.40001029,1.4,0,0,61.5666667,-27.3666667,38.2494,-122.0394,1.400000871,0.44
321,52063,GEN1,1323,All Other,4.00002902,4.0,0,0,0.0,0.0,38.0314,-122.1139,4.000000791,0.104261
322,52064,GEN1,483,All Other,5.0000364,5.0,0,0,0.0,0.0,33.8431,-118.2347,5.000000962,0.104261
323,52073,GEN1,519,Natural Gas Fired Combined Cycle,14.5001046,14.5,0,0,61.2301676,-35.8709497,34.0692,-118.4439,14.50000098,0.44
324,52073,GEN2,519,Natural Gas Fired Combined Cycle,14.5001046,14.5,0,0,61.2301676,-35.8709497,34.0692,-118.4439,14.50000098,0.44
325,52073,GEN3,519,Natural Gas Fired Combined Cycle,14.0001011,14.0,0,0,32.3,-14.3,34.0692,-118.4439,14.00000098,0.44
326,52083,TG1,112,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.2097,-120.3828,3.400000997,0.44
327,52083,TG2,112,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.2097,-120.3828,3.400000997,0.44
328,52085,TG1,8239,Natural Gas Fired Combustion Turbine,3.10002272,3.1,0,0,24.5645161,-14.3219355,35.1133,-119.4706,3.09718478,0.44
329,52085,TG2,8239,Natural Gas Fired Combustion Turbine,3.10002272,3.1,0,0,24.5645161,-14.3219355,35.1133,-119.4706,3.09718478,0.44
330,52085,TG3,8239,Natural Gas Fired Combustion Turbine,3.10002272,3.1,0,0,24.5645161,-14.3219355,35.1133,-119.4706,3.09718478,0.44
331,52085,TG4,8239,Natural Gas Fired Combustion Turbine,3.10002272,3.1,0,0,24.5645161,-14.3219355,35.1133,-119.4706,3.09718478,0.44
332,52086,TG1,1920,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.1556,-120.3972,3.400000996,0.44
333,52086,TG2,1920,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.1556,-120.3972,3.400000996,0.44
